"Do you have any comments regarding the order?","Heb je nog opmerkingen over je bestelling?"
"Enter your comment...","Opmerkingen toevoegen..."
"Deliver Later","Opmerkingen"
"The deliver later could not be saved","De opmerkingen over je bestelling kunnen niet opgeslagen worden"
"Cart %1 doesn't contain products","Winkelwagen %1 bevat geen producten"
