"When would you like your pizza delivered?","Hai delle rischieste in merito all'ordine?"
"Enter your comment...","Inserisci qui i commenti..."
"Deliver Later","Commenti ordine"
"The deliver later could not be saved","La tua richiesta al momento non puo' essere salvata"
"Cart %1 doesn't contain products","Il carrello %1 non contiene prodotti"
