"Do you have any comments regarding the order?","Haben Sie Anmerkungen zur Bestellung?"
"Enter your comment...","Anmerkungen eingeben..."
"Deliver Later","Anmerkungen"
"The deliver later could not be saved","Die Anmerkungen zur Bestellung konnten nicht gespeichert werden"
"Cart %1 doesn't contain products","Warenkorb %1 enthält keine Produkte"
